Timestamp,FPS,Inference Time (s),Latency (s),RAM Usage (%),CPU Usage (%),GPU Usage (%)
2025-07-03T09:52:50.606540,3.82,0.092,0.1,85.4,9.4,8.0
2025-07-03T09:52:50.856873,3.82,0.0903,0.0974,85.3,10.1,32.0
2025-07-03T09:52:51.109463,3.82,0.0904,0.0979,85.4,6.7,32.0
2025-07-03T09:52:51.369445,3.82,0.0903,0.0993,85.4,10.7,32.0
2025-07-03T09:52:51.634514,3.82,0.0944,0.1011,85.4,9.0,33.0
2025-07-03T09:52:51.900055,3.82,0.0936,0.1042,85.4,15.0,33.0
2025-07-03T09:52:52.161966,3.82,0.0974,0.1079,85.4,11.9,33.0
2025-07-03T09:52:52.430636,3.82,0.0932,0.1008,85.4,10.3,33.0
2025-07-03T09:52:52.694507,3.82,0.0923,0.1,85.4,9.8,32.0
2025-07-03T09:52:52.957316,3.82,0.0917,0.1002,85.4,11.0,32.0
2025-07-03T09:52:53.233870,3.82,0.0999,0.1074,85.4,13.5,32.0
2025-07-03T09:52:53.487849,3.82,0.0873,0.0964,85.4,17.2,32.0
2025-07-03T09:52:53.751697,3.82,0.0903,0.0989,85.4,19.9,39.0
2025-07-03T09:52:54.014071,3.82,0.0914,0.1009,85.4,13.6,39.0
2025-07-03T09:52:54.264045,3.82,0.0915,0.0986,85.4,10.0,39.0
2025-07-03T09:52:54.513628,3.82,0.0863,0.0944,85.4,6.8,39.0
2025-07-03T09:52:54.764339,3.82,0.0899,0.099,85.4,11.8,34.0
2025-07-03T09:52:55.012961,3.82,0.0914,0.0995,85.4,8.7,34.0
2025-07-03T09:52:55.265643,3.82,0.0942,0.1022,85.3,16.0,34.0
2025-07-03T09:52:55.530239,3.82,0.0931,0.1016,85.4,11.8,34.0
2025-07-03T09:52:55.782303,3.82,0.0896,0.0966,85.4,8.4,33.0
2025-07-03T09:52:56.065904,3.82,0.1065,0.114,85.5,11.5,33.0
2025-07-03T09:52:56.325718,3.82,0.0888,0.0953,85.3,9.0,33.0
2025-07-03T09:52:56.576585,3.82,0.0875,0.096,85.4,10.1,33.0
2025-07-03T09:52:56.823702,3.82,0.0882,0.0958,85.4,11.0,35.0
2025-07-03T09:52:57.073769,3.82,0.088,0.099,85.4,7.4,35.0
2025-07-03T09:52:57.355157,3.82,0.0918,0.1001,85.3,7.7,35.0
2025-07-03T09:52:57.618021,3.82,0.0904,0.0999,85.3,8.6,35.0
2025-07-03T09:52:57.880683,3.82,0.0965,0.1042,85.4,9.6,34.0
2025-07-03T09:52:58.147409,3.82,0.0922,0.1018,85.5,5.8,34.0
2025-07-03T09:52:58.429462,3.82,0.1132,0.1204,85.3,11.9,34.0
2025-07-03T09:52:58.694585,3.82,0.0942,0.1033,85.4,11.8,28.0
2025-07-03T09:52:58.959459,3.82,0.0968,0.1059,85.4,13.2,28.0
2025-07-03T09:52:59.209176,3.82,0.0898,0.0993,85.4,13.5,28.0
2025-07-03T09:52:59.474415,3.82,0.0897,0.0987,85.4,11.9,28.0
2025-07-03T09:52:59.739549,3.82,0.0918,0.1029,85.4,13.5,33.0
2025-07-03T09:53:00.005574,3.82,0.091,0.1,85.3,11.9,33.0
2025-07-03T09:53:00.271772,3.82,0.0982,0.1065,85.3,17.5,33.0
2025-07-03T09:53:00.534734,3.82,0.0914,0.1,85.4,11.5,33.0
2025-07-03T09:53:00.806893,3.82,0.0987,0.1072,85.4,11.6,33.0
2025-07-03T09:53:01.063050,3.82,0.09,0.0995,85.3,11.3,33.0
2025-07-03T09:53:01.328219,3.82,0.0914,0.1007,85.3,9.4,33.0
2025-07-03T09:53:01.592829,3.82,0.0934,0.1009,85.3,9.3,33.0
2025-07-03T09:53:01.845776,3.82,0.084,0.0931,85.4,12.0,32.0
2025-07-03T09:53:02.096370,3.82,0.0877,0.0963,85.4,11.1,32.0
